# Round-7 LCD-disable diagnostic — LCDC/STAT/IF/LY per-frame trace
# Plan 07.4-28 Task 2 — D-N-02 PROBE FIRST
# Addresses: LCDC=0xFF40 STAT=0xFF41 IF=0xFF0F LY=0xFF44
# Format: frame=NN LCDC=0xXX STAT=0xXX IF=0xXX LY=0xXX

frame=0 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=1 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=2 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=3 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=4 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=5 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=6 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=7 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=8 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=9 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=10 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=11 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=12 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=13 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=14 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=15 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=16 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=17 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=18 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=19 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=20 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=21 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=22 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=23 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=24 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=25 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=26 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=27 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=28 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=29 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
frame=30 LCDC=0xC3 STAT=0x81 IF=0xF1 LY=0x90
